group_name,group_type,phonemes,audio_file,word_examples,group_description,pattern_rule,teaching_strategy,difficulty_level,visual_cue
"Short Vowels",vowel_family,"/æ/,/e/,/ɪ/,/ɒ/,/ʌ/",short_vowels.mp3,"cat,bed,sit,hot,cup","The five basic short vowel sounds","One vowel in closed syllable = short sound","Use hand gestures for mouth positions",2,"🔴 Red cards for short sounds"
"Long Vowels",vowel_family,"/iː/,/uː/,/eɪ/,/aɪ/,/oʊ/",long_vowels.mp3,"see,moon,day,night,go","Vowels that say their letter names","Magic E or vowel teams = long sound","Stretch hand out for long sounds",2,"🔵 Blue cards for long sounds"
"R-Controlled Vowels",vowel_family,"/ɑː/,/ɔː/,/ɜː/,/ɪə/,/eə/",r_controlled.mp3,"car,door,bird,ear,hair","Vowels changed by the R sound","R bosses the vowel around","Show R as bossy character",3,"🟠 Orange cards for R-controlled"
"Diphthongs",vowel_family,"/eɪ/,/aɪ/,/ɔɪ/,/aʊ/,/oʊ/",diphthongs.mp3,"day,night,boy,cow,go","Two vowel sounds blended together","Mouth moves from one position to another","Show mouth movement with hand",3,"🟡 Yellow cards for sliding sounds"
"Voiceless Plosives",consonant_family,"/p/,/t/,/k/",voiceless_plosives.mp3,"pen,top,cat","Stop sounds with no voice","No vocal cord vibration + puff of air","Hand on throat - no vibration",2,"❄️ Cold breath sounds"
"Voiced Plosives",consonant_family,"/b/,/d/,/g/",voiced_plosives.mp3,"bag,dog,go","Stop sounds with voice","Vocal cords vibrate + less air","Hand on throat - feel buzz",2,"🔥 Warm throat sounds"
"Voiceless Fricatives",consonant_family,"/f/,/θ/,/s/,/ʃ/",voiceless_fricatives.mp3,"fish,think,sun,ship","Friction sounds with no voice","Continuous air flow with no voice","Hand on throat - no vibration",3,"🌬️ Whispery wind sounds"
"Voiced Fricatives",consonant_family,"/v/,/ð/,/z/,/ʒ/",voiced_fricatives.mp3,"van,this,zoo,vision","Friction sounds with voice","Continuous air flow with voice","Hand on throat - feel buzz",3,"🐝 Buzzing bee sounds"
"Nasals",consonant_family,"/m/,/n/,/ŋ/",nasals.mp3,"man,net,sing","Sounds that go through the nose","Air flows through nose while humming","Pinch nose - sound stops",2,"👃 Nose sounds"
"Liquids",consonant_family,"/l/,/r/",liquids.mp3,"leg,run","Flowing sounds like water","Tongue moves but doesn't block air","Wave hand like flowing water",3,"💧 Liquid flowing sounds"
"Glides",consonant_family,"/w/,/j/",glides.mp3,"win,yes","Sounds that slide into vowels","Start with vowel shape then glide","Slide hand smoothly",2,"🛝 Sliding sounds"
"Affricates",consonant_family,"/tʃ/,/dʒ/",affricates.mp3,"chair,jump","Stop + fricative combined","Two sounds squished into one","Clap hands together quickly",4,"💥 Explosion sounds"
"Sibilants",consonant_family,"/s/,/z/,/ʃ/,/ʒ/,/tʃ/,/dʒ/",sibilants.mp3,"sun,zoo,ship,vision,chair,jump","Hissing and buzzing sounds","High-frequency friction sounds","Finger to lips for 'shh' family",3,"🐍 Snake family sounds"
"Dental Sounds",consonant_family,"/θ/,/ð/",dental_sounds.mp3,"think,this","Tongue between teeth sounds","Tongue tip touches upper teeth","Stick tongue out slightly",4,"🦷 Tooth sounds"
"Bilabial Sounds",consonant_family,"/p/,/b/,/m/,/w/",bilabial_sounds.mp3,"pen,bag,man,win","Sounds made with both lips","Both lips work together","Point to both lips",2,"👄 Lip sounds"
"Alveolar Sounds",consonant_family,"/t/,/d/,/n/,/l/,/s/,/z/",alveolar_sounds.mp3,"top,dog,net,leg,sun,zoo","Tongue tip to gum ridge sounds","Tongue tip touches the bump","Touch behind upper teeth",2,"☝️ Tongue tip sounds"
"Velar Sounds",consonant_family,"/k/,/g/,/ŋ/",velar_sounds.mp3,"cat,go,sing","Back of tongue sounds","Back of tongue touches soft palate","Touch back of mouth area",3,"🔙 Back of mouth sounds"
"Front Vowels",vowel_family,"/iː/,/ɪ/,/eɪ/,/e/,/æ/",front_vowels.mp3,"see,sit,day,bed,cat","Tongue forward in mouth","Tongue moves from high to low in front","Point to front of mouth",2,"👆 Front tongue sounds"
"Back Vowels",vowel_family,"/uː/,/ʊ/,/oʊ/,/ɔː/,/ɑː/",back_vowels.mp3,"moon,book,go,door,car","Tongue back in mouth","Tongue moves from high to low in back","Point to back of mouth",3,"👇 Back tongue sounds"
"Central Vowels",vowel_family,"/ʌ/,/ə/,/ɜː/",central_vowels.mp3,"cup,about,bird","Tongue in middle of mouth","Neutral tongue position","Hand in center",3,"🎯 Middle tongue sounds"
"High Vowels",vowel_family,"/iː/,/ɪ/,/uː/,/ʊ/",high_vowels.mp3,"see,sit,moon,book","Tongue high in mouth","Tongue close to roof of mouth","Raise hand high",2,"⬆️ High tongue sounds"
"Mid Vowels",vowel_family,"/eɪ/,/e/,/oʊ/,/ɔː/,/ə/",mid_vowels.mp3,"day,bed,go,door,about","Tongue in middle height","Tongue halfway up in mouth","Hand at middle level",2,"➡️ Middle height sounds"
"Low Vowels",vowel_family,"/æ/,/ɑː/,/ɒ/",low_vowels.mp3,"cat,car,hot","Tongue low in mouth","Tongue down with open mouth","Lower hand down",2,"⬇️ Low tongue sounds"
"Rounded Vowels",vowel_family,"/uː/,/ʊ/,/oʊ/,/ɔː/,/ɔɪ/",rounded_vowels.mp3,"moon,book,go,door,boy","Lips form round shape","Lips make circle or oval","Make O shape with fingers",2,"⭕ Round lip sounds"
"Unrounded Vowels",vowel_family,"/iː/,/ɪ/,/eɪ/,/e/,/æ/",unrounded_vowels.mp3,"see,sit,day,bed,cat","Lips relaxed or spread","Lips not rounded","Fingers spread apart",2,"✋ Spread lip sounds"
"Tense Vowels",vowel_family,"/iː/,/uː/,/eɪ/,/aɪ/,/oʊ/",tense_vowels.mp3,"see,moon,day,night,go","Muscles tight and precise","Clear, precise pronunciation","Flex arm muscles",3,"💪 Strong muscle sounds"
"Lax Vowels",vowel_family,"/ɪ/,/ʊ/,/e/,/æ/,/ʌ/",lax_vowels.mp3,"sit,book,bed,cat,cup","Muscles relaxed","Shorter, more relaxed sounds","Relax shoulders",2,"😌 Relaxed sounds"
"Voicing Pairs",consonant_family,"/p/-/b/,/t/-/d/,/k/-/g/,/f/-/v/,/θ/-/ð/,/s/-/z/,/ʃ/-/ʒ/,/tʃ/-/dʒ/",voicing_pairs.mp3,"pen-bag,top-dog,cat-go,fish-van","Same mouth position, different voice","One has voice, one doesn't","Hand on throat for voice check",3,"🔊🔇 Voice on/off pairs"
"Minimal Pairs",word_family,"/p/-/b/,/t/-/d/,/k/-/g/",minimal_pairs.mp3,"pen-ben,top-dog,cat-gap","Words different by one sound only","Change one sound = new word","Show one finger for one change",4,"1️⃣ One sound different"
"Consonant Clusters",consonant_family,"/st/,/sp/,/sk/,/bl/,/br/,/cr/",clusters.mp3,"stop,spin,skip,blue,brown,cry","Two or more consonants together","Blend sounds smoothly together","Link hands together",4,"🔗 Sounds holding hands"
"Silent Letters",spelling_pattern,"k-/n/,b-/m/,l-/f/,w-/r/",silent_letters.mp3,"knee,lamb,half,write","Letters you see but don't hear","Some letters are invisible sounds","Cover eye = can't see, cover ear = can't hear",4,"👻 Ghost letters"
