label,ipa,audioFile,example_word,group
plosives_p,p,p.m4a,pen,Plosives
plosives_b,b,b.m4a,bat,Plosives
plosives_t,t,t.m4a,top,Plosives
plosives_d,d,d.m4a,dog,Plosives
plosives_k,k,k.m4a,cat,Plosives
plosives_g,g,g.m4a,go,Plosives
fricatives_f,f,f.m4a,fan,Fricatives
fricatives_v,v,v.m4a,van,Fricatives
fricatives_s,s,s.m4a,sun,Fricatives
fricatives_z,z,z.m4a,zip,Fricatives
fricatives_sh,ʃ,sh.m4a,ship,Fricatives
fricatives_zh,ʒ,zh.m4a,vision,Fricatives
fricatives_th1,θ,th1.m4a,think,Fricatives
fricatives_th2,ð,th2.m4a,this,Fricatives
affricates_ch,tʃ,ch.m4a,chair,Affricates
affricates_j,dʒ,j.m4a,jam,Affricates
nasals_m,m,m.m4a,man,Nasals
nasals_n,n,n.m4a,net,Nasals
nasals_ng,ŋ,ng.m4a,sing,Nasals
liquids_l,l,l.m4a,leg,Liquids
liquids_r,r,r.m4a,red,Liquids
glides_w,w,w.m4a,win,Glides
glides_y,j,y.m4a,yes,Glides
