## problem_sets.csv,,,,,,,,,,
set_id,level,category,target_sentence,hint_ja,estimated_difficulty,visual_theme,words_pool,grammar_pattern,,
1,beginner,beVerb,I am happy,私は幸せです,1,happiness,"I:subject,am:verb,happy:object",SVO,,
2,beginner,beVerb,You are a student,あなたは学生です,1.2,school,"You:subject,are:verb,a student:object",SVO,,
3,beginner,beVerb,She is tired,彼女は疲れています,1.3,emotion,"She:subject,is:verb,tired:object",SVO,,
4,beginner,beVerb,We are friends,私たちは友達です,1.5,friendship,"We:subject,are:verb,friends:object",SVO,,
5,beginner,beVerb,They are students,彼らは学生です,1.6,school,"They:subject,are:verb,students:object",SVO,,
6,beginner,beVerb,It is a book,それは本です,1.1,object,"It:subject,is:verb,a book:object",SVO,,
7,beginner,beVerb,I am not sad,私は悲しくありません,2.0,emotion,"I:subject,am not:verb,sad:object",SVnegO,,
8,beginner,generalVerb,I play soccer,私はサッカーをします,2.0,sports,"I:subject,play:verb,soccer:object",SVO,,
9,beginner,generalVerb,He likes music,彼は音楽が好きです,2.1,music,"He:subject,likes:verb,music:object",SVO,,
10,beginner,generalVerb,We eat lunch,私たちは昼食を食べます,2.2,food,"We:subject,eat:verb,lunch:object",SVO,,
11,beginner,generalVerb,She reads books,彼女は本を読みます,2.3,reading,"She:subject,reads:verb,books:object",SVO,,
12,beginner,generalVerb,They watch TV,彼らはテレビを見ます,2.4,entertainment,"They:subject,watch:verb,TV:object",SVO,,
13,beginner,whQuestion,What is this?,これは何ですか？,2.5,question,"What:subject,is:verb,this:object",WhSVO,,
14,beginner,whQuestion,Where are you?,あなたはどこにいますか？,2.6,location,"Where:subject,are:verb,you:object",WhSVO,,
15,beginner,whQuestion,Who is he?,彼は誰ですか？,2.7,person,"Who:subject,is:verb,he:object",WhSVO,,
16,intermediate,beVerb,I am not tired,私は疲れていません,3.0,negation,"I:subject,am not:verb,tired:object",SVnegO,,
17,intermediate,beVerb,You are not late,あなたは遅刻していません,3.1,time,"You:subject,are not:verb,late:object",SVnegO,,
18,intermediate,generalVerb,Do you like pizza?,あなたはピザが好きですか？,3.5,question,"Do:auxiliary,you:subject,like:verb,pizza:object",AuxSVO,,
19,intermediate,generalVerb,Does she speak English?,彼女は英語を話しますか？,3.6,language,"Does:auxiliary,she:subject,speak:verb,English:object",AuxSVO,,
20,intermediate,pastTense,I played soccer yesterday,私は昨日サッカーをしました,4.0,past_sports,"I:subject,played:verb,soccer:object,yesterday:modifier",SVOM,,
21,intermediate,futureTense,I will study English,私は英語を勉強するでしょう,4.2,future_study,"I:subject,will study:verb,English:object",AuxSVO,,
22,advanced,presentPerfect,I have finished homework,私は宿題を終えました,5.0,completion,"I:subject,have finished:verb,homework:object",AuxVPO,,
23,advanced,passiveVoice,The book was written,その本は書かれました,5.5,creation,"The book:subject,was written:verb",PassiveSV,,
